phi_deg,theta_deg,C_joint,C_decoupled,delta_C
38.181818,18.947368,0.773087,0.778953,-0.005866
38.181818,23.684211,0.767781,0.778953,-0.011172
38.181818,28.421053,0.761659,0.778953,-0.017294
38.181818,33.157895,0.755131,0.778953,-0.023822
38.181818,37.894737,0.748554,0.778953,-0.030400
38.181818,42.631579,0.742199,0.778953,-0.036754
38.181818,47.368421,0.736236,0.778953,-0.042717
38.181818,52.105263,0.730750,0.778953,-0.048203
38.181818,56.842105,0.725791,0.778953,-0.053162
38.181818,61.578947,0.721441,0.778953,-0.057512
38.181818,66.315789,0.717841,0.778953,-0.061112
38.181818,71.052632,0.715166,0.778953,-0.063787
38.181818,75.789474,0.713560,0.778953,-0.065393
38.181818,80.526316,0.713103,0.778953,-0.065850
38.181818,85.263158,0.713801,0.778953,-0.065152
38.181818,90.000000,0.715559,0.778953,-0.063394
40.000000,0.000000,0.776813,0.776813,0.000000
40.000000,4.736842,0.778549,0.776813,0.001736
40.000000,9.473684,0.778389,0.776813,0.001576
40.000000,14.210526,0.776346,0.776813,-0.000467
40.000000,18.947368,0.772621,0.776813,-0.004192
40.000000,23.684211,0.767558,0.776813,-0.009255
40.000000,28.421053,0.761576,0.776813,-0.015237
40.000000,33.157895,0.755105,0.776813,-0.021709
40.000000,37.894737,0.748527,0.776813,-0.028286
40.000000,42.631579,0.742141,0.776813,-0.034673
40.000000,47.368421,0.736138,0.776813,-0.040675
40.000000,52.105263,0.730623,0.776813,-0.046190
40.000000,56.842105,0.725657,0.776813,-0.051157
40.000000,61.578947,0.721322,0.776813,-0.055492
40.000000,66.315789,0.717755,0.776813,-0.059058
40.000000,71.052632,0.715122,0.776813,-0.061691
40.000000,75.789474,0.713557,0.776813,-0.063256
40.000000,80.526316,0.713133,0.776813,-0.063680
40.000000,85.263158,0.713853,0.776813,-0.062960
40.000000,90.000000,0.715621,0.776813,-0.061192
41.818182,0.000000,0.774416,0.774416,0.000000
41.818182,4.736842,0.776540,0.774416,0.002124
41.818182,9.473684,0.776830,0.774416,0.002415
41.818182,14.210526,0.775236,0.774416,0.000820
41.818182,18.947368,0.771900,0.774416,-0.002515
41.818182,23.684211,0.767133,0.774416,-0.007282
41.818182,28.421053,0.761346,0.774416,-0.013070
41.818182,33.157895,0.754979,0.774416,-0.019437
41.818182,37.894737,0.748439,0.774416,-0.025977
41.818182,42.631579,0.742050,0.774416,-0.032366
41.818182,47.368421,0.736029,0.774416,-0.038387
41.818182,52.105263,0.730499,0.774416,-0.043917
41.818182,56.842105,0.725533,0.774416,-0.048883
41.818182,61.578947,0.721217,0.774416,-0.053198
41.818182,66.315789,0.717683,0.774416,-0.056732
41.818182,71.052632,0.715088,0.774416,-0.059328
41.818182,75.789474,0.713558,0.774416,-0.060858
41.818182,80.526316,0.713160,0.774416,-0.061256
41.818182,85.263158,0.713893,0.774416,-0.060523
41.818182,90.000000,0.715662,0.774416,-0.058754
43.636364,0.000000,0.771825,0.771825,0.000000
43.636364,4.736842,0.774289,0.771825,0.002464
43.636364,9.473684,0.775005,0.771825,0.003180
43.636364,14.210526,0.773862,0.771825,0.002037
43.636364,18.947368,0.770944,0.771825,-0.000881
43.636364,23.684211,0.766517,0.771825,-0.005309
43.636364,28.421053,0.760972,0.771825,-0.010853
43.636364,33.157895,0.754755,0.771825,-0.017070
43.636364,37.894737,0.748291,0.771825,-0.023534
43.636364,42.631579,0.741928,0.771825,-0.029897
43.636364,47.368421,0.735910,0.771825,-0.035916
43.636364,52.105263,0.730379,0.771825,-0.041447
43.636364,56.842105,0.725422,0.771825,-0.046404
43.636364,61.578947,0.721128,0.771825,-0.050697
43.636364,66.315789,0.717626,0.771825,-0.054199
43.636364,71.052632,0.715064,0.771825,-0.056761
43.636364,75.789474,0.713562,0.771825,-0.058263
43.636364,80.526316,0.713181,0.771825,-0.058644
43.636364,85.263158,0.713920,0.771825,-0.057905
43.636364,90.000000,0.715682,0.771825,-0.056144
45.454545,0.000000,0.769106,0.769106,0.000000
45.454545,4.736842,0.771858,0.769106,0.002752
45.454545,9.473684,0.772963,0.769106,0.003857
45.454545,14.210526,0.772261,0.769106,0.003155
45.454545,18.947368,0.769776,0.769106,0.000669
45.454545,23.684211,0.765721,0.769106,-0.003385
45.454545,28.421053,0.760462,0.769106,-0.008645
45.454545,33.157895,0.754437,0.769106,-0.014669
45.454545,37.894737,0.748085,0.769106,-0.021021
45.454545,42.631579,0.741777,0.769106,-0.027329
45.454545,47.368421,0.735782,0.769106,-0.033324
45.454545,52.105263,0.730264,0.769106,-0.038843
45.454545,56.842105,0.725324,0.769106,-0.043783
45.454545,61.578947,0.721055,0.769106,-0.048051
45.454545,66.315789,0.717583,0.769106,-0.051523
45.454545,71.052632,0.715050,0.769106,-0.054056
45.454545,75.789474,0.713570,0.769106,-0.055536
45.454545,80.526316,0.713198,0.769106,-0.055908
45.454545,85.263158,0.713933,0.769106,-0.055173
45.454545,90.000000,0.715679,0.769106,-0.053427
47.272727,0.000000,0.766320,0.766320,0.000000
47.272727,4.736842,0.769305,0.766320,0.002985
47.272727,9.473684,0.770756,0.766320,0.004436
47.272727,14.210526,0.770473,0.766320,0.004153
47.272727,18.947368,0.768422,0.766320,0.002102
47.272727,23.684211,0.764763,0.766320,-0.001557
47.272727,28.421053,0.759824,0.766320,-0.006496
47.272727,33.157895,0.754029,0.766320,-0.012291
47.272727,37.894737,0.747824,0.766320,-0.018496
47.272727,42.631579,0.741599,0.766320,-0.024721
47.272727,47.368421,0.735647,0.766320,-0.030673
47.272727,52.105263,0.730156,0.766320,-0.036164
47.272727,56.842105,0.725240,0.766320,-0.041080
47.272727,61.578947,0.720999,0.766320,-0.045321
