phi_deg,theta_deg,delta_C_avg,delta_C_min
87.272727,23.684211,-0.00217305,0.00586213
89.090909,23.684211,-0.00326038,0.00828401
90.909091,23.684211,-0.00434827,0.01065734
92.727273,23.684211,-0.00542814,0.01299197
94.545455,23.684211,-0.00649201,0.01522946
96.363636,23.684211,-0.00753240,0.01048167
98.181818,23.684211,-0.00854237,0.00577713
100.000000,23.684211,-0.00951544,0.00113549
101.818182,23.684211,-0.01044561,-0.00342520
103.636364,23.684211,-0.01132729,-0.00788841
105.454545,23.684211,-0.01215529,-0.01223918
107.272727,23.684211,-0.01292481,-0.01646407
109.090909,23.684211,-0.01363141,-0.02055114
110.909091,23.684211,-0.01427101,-0.02448993
112.727273,23.684211,-0.01483984,-0.02827147
114.545455,23.684211,-0.01533446,-0.03188823
116.363636,23.684211,-0.01575174,-0.03533411
118.181818,23.684211,-0.01608884,-0.03860444
120.000000,23.684211,-0.01634323,-0.04169594
121.818182,23.684211,-0.01651268,-0.04460672
123.636364,23.684211,-0.01659525,-0.04733630
125.454545,23.684211,-0.01658933,-0.04988554
127.272727,23.684211,-0.01649360,-0.05225669
129.090909,23.684211,-0.01630709,-0.05445338
130.909091,23.684211,-0.01602919,-0.05648060
132.727273,23.684211,-0.01565965,-0.05834469
134.545455,23.684211,-0.01519863,-0.06005339
136.363636,23.684211,-0.01464675,-0.06161580
138.181818,23.684211,-0.01400509,-0.06304240
140.000000,23.684211,-0.01327530,-0.06434507
141.818182,23.684211,-0.01245959,-0.06553705
143.636364,23.684211,-0.01156085,-0.06663297
145.454545,23.684211,-0.01058270,-0.06764884
147.272727,23.684211,-0.00952959,-0.06860204
149.090909,23.684211,-0.00840688,-0.06951129
150.909091,23.684211,-0.00722094,-0.07039661
152.727273,23.684211,-0.00597928,-0.07127932
154.545455,23.684211,-0.00469067,-0.07218190
156.363636,23.684211,-0.00336524,-0.07312798
158.181818,23.684211,-0.00201465,-0.07414216
160.000000,23.684211,-0.00065216,-0.07524988
161.818182,23.684211,0.00070720,-0.07647721
163.636364,23.684211,0.00204657,-0.07785059
165.454545,23.684211,0.00334716,-0.07939650
167.272727,23.684211,0.00458824,-0.08114105
169.090909,23.684211,0.00574719,-0.08310946
170.909091,23.684211,0.00679961,-0.08532548
172.727273,23.684211,0.00771952,-0.08781063
174.545455,23.684211,0.00847977,-0.09058328
